angle,distance
4.92,209
9.84,208
14.77,55
19.69,62
24.61,797
29.53,797
34.45,67
39.38,797
44.30,797
49.22,71
54.14,69
59.06,69
63.98,68
68.91,68
73.83,69
78.75,797
83.67,797
88.59,237
93.52,235
98.44,235
103.36,220
108.28,219
113.20,219
118.12,158
123.05,158
127.97,158
132.89,158
137.81,158
142.73,219
147.66,219
152.58,219
157.50,219
162.42,219
167.34,220
172.27,221
177.19,235
182.11,237
177.19,797
172.27,236
167.34,235
162.42,221
157.50,220
152.58,219
147.66,219
142.73,219
137.81,219
132.89,219
127.97,219
123.05,219
118.12,219
113.20,219
108.28,159
103.36,158
98.44,158
93.52,159
88.59,159
83.67,219
78.75,220
73.83,221
68.91,67
63.98,236
59.06,65
54.14,66
49.22,65
44.30,65
39.38,797
34.45,797
29.53,797
24.61,797
19.69,797
14.77,797
9.84,551
4.92,551
0.00,797
-4.92,209
-9.84,207
-14.77,208
-19.69,231
-24.61,231
-29.53,241
-34.45,253
-39.38,262
-44.30,279
-49.22,269
-54.14,252
-59.06,239
-63.98,231
-68.91,224
-73.83,221
-78.75,225
-83.67,228
-88.59,228
-93.52,228
-98.44,229
-103.36,229
-108.28,225
-113.20,231
-118.12,258
-123.05,283
-127.97,797
-132.89,797
-137.81,301
-142.73,797
-147.66,282
-152.58,797
-157.50,275
-162.42,280
-167.34,266
-172.27,259
-177.19,239
-182.11,226
-177.19,239
-172.27,249
-167.34,255
-162.42,269
-157.50,271
-152.58,279
-147.66,280
-142.73,286
-137.81,302
-132.89,301
-127.97,291
-123.05,797
-118.12,797
-113.20,797
-108.28,264
-103.36,797
-98.44,249
-93.52,229
-88.59,228
-83.67,228
-78.75,248
-73.83,248
-68.91,259
-63.98,220
-59.06,268
-54.14,218
-49.22,217
-44.30,218
-39.38,218
-34.45,218
-29.53,218
-24.61,219
-19.69,232
-14.77,232
-9.84,231
-4.92,209
0.00,208
4.92,208
9.84,208
14.77,209
19.69,208
24.61,797
29.53,797
34.45,797
39.38,797
44.30,797
49.22,797
54.14,797
59.06,797
63.98,797
68.91,797
73.83,797
78.75,797
83.67,797
88.59,797
93.52,797
98.44,235
103.36,235
108.28,220
113.20,219
118.12,158
123.05,158
127.97,158
132.89,158
137.81,159
142.73,219
147.66,219
152.58,219
157.50,219
162.42,219
167.34,220
172.27,221
177.19,235
182.11,236
177.19,797
172.27,236
167.34,235
162.42,221
157.50,220
152.58,220
147.66,219
142.73,219
137.81,219
132.89,219
127.97,219
123.05,219
118.12,219
113.20,219
108.28,159
103.36,158
98.44,158
93.52,158
88.59,158
83.67,219
78.75,219
73.83,221
68.91,236
63.98,797
59.06,797
54.14,797
49.22,797
44.30,797
39.38,797
34.45,797
29.53,797
24.61,797
19.69,797
14.77,797
9.84,797
4.92,798
0.00,797
-4.92,208
-9.84,797
-14.77,209
-19.69,208
-24.61,231
-29.53,232
-34.45,232
-39.38,233
-44.30,219
-49.22,218
-54.14,218
-59.06,218
-63.98,217
-68.91,218
-73.83,218
-78.75,218
-83.67,219
-88.59,228
-93.52,228
-98.44,228
-103.36,229
-108.28,229
-113.20,230
-118.12,263
-123.05,264
-127.97,797
-132.89,797
-137.81,797
-142.73,252
-147.66,797
-152.58,797
-157.50,280
-162.42,226
-167.34,279
-172.27,225
-177.19,225
-182.11,225
-177.19,226
-172.27,225
-167.34,280
-162.42,797
-157.50,251
-152.58,797
-147.66,797
-142.73,797
-137.81,797
-132.89,797
-127.97,264
-123.05,263
-118.12,230
-113.20,228
-108.28,228
-103.36,228
-98.44,228
-93.52,228
-88.59,218
-83.67,218
-78.75,218
-73.83,218
-68.91,218
-63.98,218
-59.06,218
-54.14,219
-49.22,218
-44.30,219
-39.38,232
-34.45,232
-29.53,231
-24.61,209
-19.69,208
-14.77,207
-9.84,207
-4.92,208
0.00,208
4.92,208
9.84,797
14.77,551
19.69,797
24.61,797
29.53,797
34.45,797
39.38,797
44.30,797
49.22,797
54.14,797
59.06,797
63.98,797
68.91,797
73.83,797
78.75,797
83.67,235
88.59,221
93.52,219
98.44,219
103.36,159
108.28,158
113.20,158
118.12,158
123.05,158
127.97,219
132.89,219
137.81,219
142.73,219
147.66,219
152.58,220
157.50,221
162.42,235
167.34,236
172.27,797
177.19,797
182.11,797
177.19,797
172.27,797
167.34,797
162.42,797
157.50,235
152.58,235
147.66,221
142.73,220
137.81,220
132.89,219
127.97,219
123.05,219
118.12,219
113.20,219
108.28,219
103.36,219
98.44,159
93.52,159
88.59,158
83.67,158
78.75,158
73.83,158
68.91,219
63.98,219
59.06,220
54.14,235
49.22,797
44.30,797
39.38,797
34.45,797
29.53,797
24.61,797
19.69,797
14.77,797
9.84,797
4.92,797
0.00,797
-4.92,797
-9.84,797
-14.77,797
-19.69,207
-24.61,209
-29.53,208
-34.45,208
-39.38,231
-44.30,232
-49.22,232
-54.14,219
-59.06,219
-63.98,218
-68.91,218
-73.83,218
-78.75,217
-83.67,217
-88.59,218
-93.52,218
-98.44,219
-103.36,228
-108.28,228
-113.20,228
-118.12,228
-123.05,228
-127.97,229
-132.89,264
-137.81,263
-142.73,797
-147.66,797
-152.58,797
-157.50,251
-162.42,252
-167.34,797
-172.27,797
-177.19,286
-182.11,225
-177.19,224
-172.27,223
-167.34,285
-162.42,797
-157.50,252
-152.58,251
-147.66,251
-142.73,797
-137.81,797
-132.89,797
-127.97,264
-123.05,264
-118.12,229
-113.20,229
-108.28,228
-103.36,228
-98.44,227
-93.52,228
-88.59,219
-83.67,218
-78.75,217
-73.83,218
-68.91,218
-63.98,218
-59.06,218
-54.14,218
-49.22,219
-44.30,232
-39.38,233
-34.45,232
-29.53,231
-24.61,208
-19.69,208
-14.77,208
-9.84,207
-4.92,797
0.00,209
4.92,797
9.84,797
14.77,797
19.69,797
24.61,797
29.53,797
34.45,797
39.38,797
44.30,797
49.22,797
54.14,797
59.06,797
63.98,797
68.91,797
73.83,797
78.75,797
83.67,235
88.59,221
93.52,220
98.44,219
103.36,159
108.28,158
113.20,158
118.12,158
123.05,158
127.97,219
132.89,219
137.81,219
142.73,219
147.66,220
152.58,220
157.50,221
162.42,235
167.34,797
172.27,797
177.19,797
182.11,797
177.19,797
172.27,797
167.34,797
162.42,797
157.50,236
152.58,235
147.66,222
142.73,220
137.81,220
132.89,219
127.97,219
